
2024/05/03 (09:50:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/03 (09:56:26) | ===> btop++ v.1.3.2
2024/05/03 (09:56:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/03 (17:24:25) | ===> btop++ v.1.3.2
2024/05/03 (17:24:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/03 (17:25:40) | ===> btop++ v.1.3.2
2024/05/03 (17:25:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/03 (18:25:27) | ===> btop++ v.1.3.2
2024/05/03 (18:25:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/03 (20:26:04) | ===> btop++ v.1.3.2
2024/05/03 (20:26:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/05 (18:51:11) | ===> btop++ v.1.3.2
2024/05/05 (18:51:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/06 (16:28:46) | ===> btop++ v.1.3.2
2024/05/06 (16:28:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/06 (16:29:00) | ===> btop++ v.1.3.2
2024/05/06 (16:29:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/06 (20:32:16) | ===> btop++ v.1.3.2
2024/05/06 (20:32:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/07 (19:30:17) | ===> btop++ v.1.3.2
2024/05/07 (19:30:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/08 (10:09:46) | ===> btop++ v.1.3.2
2024/05/08 (10:09:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/08 (21:39:03) | ===> btop++ v.1.3.2
2024/05/08 (21:39:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/08 (21:39:23) | ===> btop++ v.1.3.2
2024/05/08 (21:39:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/08 (21:39:40) | ===> btop++ v.1.3.2
2024/05/08 (21:39:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/08 (21:40:36) | ===> btop++ v.1.3.2
2024/05/08 (21:40:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/13 (16:51:55) | ===> btop++ v.1.3.2
2024/05/13 (16:51:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/13 (19:42:19) | ===> btop++ v.1.3.2
2024/05/13 (19:42:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/14 (15:55:26) | ===> btop++ v.1.3.2
2024/05/14 (15:55:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/14 (17:06:01) | ===> btop++ v.1.3.2
2024/05/14 (17:06:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/15 (09:51:03) | ===> btop++ v.1.3.2
2024/05/15 (09:51:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/15 (16:59:02) | ===> btop++ v.1.3.2
2024/05/15 (16:59:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/16 (08:23:51) | ===> btop++ v.1.3.2
2024/05/16 (08:23:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/16 (08:30:15) | ===> btop++ v.1.3.2
2024/05/16 (08:30:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/16 (08:34:14) | ===> btop++ v.1.3.2
2024/05/16 (08:34:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/16 (17:03:40) | ===> btop++ v.1.3.2
2024/05/16 (17:03:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/18 (15:23:47) | ===> btop++ v.1.3.2
2024/05/18 (15:23:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/18 (15:23:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/18 (18:46:07) | ===> btop++ v.1.3.2
2024/05/18 (18:46:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/18 (18:46:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (12:01:44) | ===> btop++ v.1.3.2
2024/05/19 (12:01:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (12:01:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/20 (16:54:26) | ===> btop++ v.1.3.2
2024/05/20 (16:54:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/20 (16:54:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/20 (16:54:33) | ===> btop++ v.1.3.2
2024/05/20 (16:54:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/20 (16:54:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/20 (16:54:41) | ===> btop++ v.1.3.2
2024/05/20 (16:54:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/20 (16:54:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/21 (17:47:40) | ===> btop++ v.1.3.2
2024/05/21 (17:47:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/21 (17:47:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (12:09:00) | ===> btop++ v.1.3.2
2024/05/22 (12:09:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (12:09:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (13:52:51) | ===> btop++ v.1.3.2
2024/05/22 (13:52:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (13:52:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (13:53:47) | ===> btop++ v.1.3.2
2024/05/22 (13:53:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (13:53:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:02:15) | ===> btop++ v.1.3.2
2024/05/22 (14:02:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:02:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/22 (14:03:30) | ===> btop++ v.1.3.2
2024/05/22 (14:03:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (14:03:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (15:59:10) | ===> btop++ v.1.3.2
2024/05/23 (15:59:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (15:59:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (15:59:14) | ===> btop++ v.1.3.2
2024/05/23 (15:59:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (15:59:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/23 (16:53:29) | ===> btop++ v.1.3.2
2024/05/23 (16:53:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/23 (16:53:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (08:53:10) | ===> btop++ v.1.3.2
2024/05/24 (08:53:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (08:53:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (17:00:05) | ===> btop++ v.1.3.2
